,UC Irvine Office of the Registrar,,,,,,
,WebRoster Listing,,,,,,
,,,,,,,
IMPORTANT! It is your responsibility to ensure confidentiality,,,,,,,
of the student information below. Further disclosure is,,,,,,,
"governed by Federal and State law and University policy, and",,,,,,,
is prohibited without written consent of the student(s). For,,,,,,,
"questions, contact Mark Fonseca (949/824-9672,",,,,,,,
mark.fonseca@uci.edu) in the Office of the Registrar.,,,,,,,
,,,,,,,
"Spring Quarter, 2014",,,,,,,
,,,,,,,
INFO RETRIEVAL Course Code 3000,,,,,,,
"In4matx 141, Sec. A, 4-unit Lecture",,,,,,,
"Instructor: KAY, D.",,,,,,,
"Time, Place: TuTh 11:00-12:20p, DBH 1500",,,,,,,
Enrollment: 65 students (none with a FERPA privacy block),,,,,,,
Authorization codes for student enrollment were generated:,,,,,,,
,https://www.reg.uci.edu/perl/AuthCodes.pl?term_code=201414&amp;course_code=37200,,,,,,
Roster also viewable this term by this UCI NetID: MSILBERM,,,,,,,
,,,,,,,
"Additional AccessUCI students: 1, viewable via EEE at",,,,,,,
,https://eee.uci.edu/toolbox/rosters/index.php?type=accessuci&quarter=S14&amp;ccode=37200,,,,,,
,,,,,,,
,,,,,,,
Student#,Name,Email,Major,Lvl,Opt,Unts,Notes
1234580,"GLENN, DEWALT",DEWALTG@UCI.EDU,IN4MATX,JR,GR,4,
1234581,"SHARLA, EDMISTON",EDMISTONS@UCI.EDU,IN4MATX,JR,GR,4,
1234582,"FELICIA, TORGERSEN",TORGERSENF@UCI.EDU,IN4MATX,SR,GR,4,
1234583,"HARVEY, MORITA",MORITAH@UCI.EDU,IN4MATX,SR,GR,4,
1234584,"CORINA, KOVAC",KOVACC@UCI.EDU,IN4MATX+BUS ADM,SR,GR,4,
1234585,"ERMELINDA, CANTRELLE",CANTRELLEE@UCI.EDU,IN4MATX,SR,GR,4,
1234586,"MAY, SYLVEST",SYLVESTM@UCI.EDU,IN4MATX,SR,GR,4,
1234587,"CELESTINA, HEINS",HEINSC@UCI.EDU,IN4MATX,JR,GR,4,
1234588,"MAJOR, KONECNY",KONECNYM@UCI.EDU,SW ENGR,SR,GR,4,
1234589,"MALLORY, LINDLEY",LINDLEYM@UCI.EDU,IN4MATX,SR,GR,4,
1234590,"YUETTE, MEYER",MEYERY@UCI.EDU,IN4MATX,SR,GR,4,
1234591,"SADE, BRUNDIGE",BRUNDIGES@UCI.EDU,IN4MATX,JR,GR,4,
1234592,"KEMBERLY, SHUE",SHUEK@UCI.EDU,IN4MATX,JR,GR,4,
1234593,"CAREY, COMFORT",COMFORTC@UCI.EDU,IN4MATX,SR,GR,4,
1234594,"REGENA, BOWSHER",BOWSHERR@UCI.EDU,IN4MATX,JR,GR,4,
1234595,"SAMUAL, OESTERLING",OESTERLINGS@UCI.EDU,IN4MATX,SR,GR,4,
1234600,"STORMY, INOUE",INOUES@UCI.EDU,IN4MATX+PSY BEH,SR,GR,4,
1234601,"KIMBER, COCKRELL",COCKRELLK@UCI.EDU,IN4MATX,SR,GR,4,
1234602,"KARYN, JANTZEN",JANTZENK@UCI.EDU,IN4MATX,SR,GR,4,
1234603,"CHU, KOHUT",KOHUTC@UCI.EDU,SW ENGR+DRAMA,SR,GR,4,
1234604,"SHARI, TORRES",TORRESS@UCI.EDU,IN4MATX,JR,GR,4,
1234605,"DUANE, MANSEAU",MANSEAUD@UCI.EDU,SW ENGR,SR,GR,4,
1234606,"DELANA, CANAVAN",CANAVAND@UCI.EDU,IN4MATX,SR,GR,4,
1234629,"VALERIA, MELL",MELLV@UCI.EDU,IN4MATX,SR,GR,4,
1234630,"WALLY, MCCURDY",MCCURDYW@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"JACOB, WINES",WINESJ@UCI.EDU,IN4MATX,JR,GR,4,
1234631,"RYDER, CHRISTINA",RYDERC@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"MCNICOL, IAN",IMCNICOL@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"DHINGREJA, VINAYAK",VDHINGREJ@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"PETROV, DELIAN",PETROVD@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"SILBERMAN, MICHAEL",MSILBERM@UCI.EDU,IN4MATX,SR,GR,4,
297353758,"Murray, Cailin",CMURRAY@UCI.EDU,IN4MATX,SR,GR,4,
298327605,"Kirk, Camille",CKIRK@UCI.EDU,IN4MATX,SR,GR,4,
299301452,"Gaines, Candice",CGAINES@UCI.EDU,IN4MATX,JR,GR,4,
300275299,"Tyler, Blair",BTYLER@UCI.EDU,IN4MATX,SR,GR,4,
301249146,"Stuart, Amy",ASTUART@UCI.EDU,IN4MATX,SR,GR,4,
302222993,"Roberson, Camilla",CROBERSON@UCI.EDU,IN4MATX,JR,GR,4,
303196840,"Jimenez, Charde",CJIMENEZ@UCI.EDU,IN4MATX,SR,GR,4,
304170687,"Cobb, Jada",JCOBB@UCI.EDU,IN4MATX,SR,GR,4,
305144534,"Duke, Dillon",DDUKE@UCI.EDU,IN4MATX,SR,GR,4,
397659999,"Salas, Priscilla",PSALAS@UCI.EDU,IN4MATX,SR,GR,4,
398633846,"Schmidt, Larissa",LSCHMIDT@UCI.EDU,IN4MATX,SR,GR,4,
399607693,"Fuentes, Ebony",EFUENTES@UCI.EDU,IN4MATX,JR,GR,4,
400581540,"Hart, Kylan",KHART@UCI.EDU,IN4MATX,SR,GR,4,
401555387,"Dorsey, Hayfa",HDORSEY@UCI.EDU,IN4MATX,SR,GR,4,
402529234,"Moss, Wesley",WMOSS@UCI.EDU,IN4MATX,JR,GR,4,
403503081,"Doyle, Jarrod",JDOYLE@UCI.EDU,IN4MATX,SR,GR,4,
404476928,"Kelley, Aspen",AKELLEY@UCI.EDU,IN4MATX,SR,GR,4,
405450775,"Mcguire, Nehru",NMCGUIRE@UCI.EDU,IN4MATX,SR,GR,4,
406424622,"Mosley, May",MMOSLEY@UCI.EDU,IN4MATX,SR,GR,4,
407398469,"Valdez, Autumn",AVALDEZ@UCI.EDU,IN4MATX,SR,GR,4,
408372316,"Roach, Hilel",HROACH@UCI.EDU,IN4MATX,JR,GR,4,
409346163,"Anthony, Oscar",OANTHONY@UCI.EDU,IN4MATX,SR,GR,4,
410320010,"Roach, Demetria",DROACH@UCI.EDU,IN4MATX,SR,GR,4,
411293857,"Vazquez, Lillith",LVAZQUEZ@UCI.EDU,IN4MATX,JR,GR,4,
412267704,"Stuart, Ursa",USTUART@UCI.EDU,IN4MATX,SR,GR,4,
413241551,"Mack, Octavius",OMACK@UCI.EDU,IN4MATX,SR,GR,4,
414215398,"Fernandez, Kuame",KFERNANDEZ@UCI.EDU,IN4MATX,SR,GR,4,
415189245,"Alford, Nell",NALFORD@UCI.EDU,IN4MATX,SR,GR,4,
416163092,"Nielsen, Mari",MNIELSEN@UCI.EDU,IN4MATX,SR,GR,4,
417136939,"Brewer, Armando",ABREWER@UCI.EDU,IN4MATX,JR,GR,4,
418110786,"Rowe, Shelby",SROWE@UCI.EDU,IN4MATX,SR,GR,4,
419084633,"Dean, Sybill",SDEAN@UCI.EDU,IN4MATX,SR,GR,4,
420058480,"Jacobs, Xaviera",XJACOBS@UCI.EDU,IN4MATX,JR,GR,4,
399607693,"Fuentes, Ebony",EFUENTES@UCI.EDU,IN4MATX,JR,GR,4,
400581540,"Hart, Kylan",KHART@UCI.EDU,IN4MATX,SR,GR,4,
401555387,"Dorsey, Hayfa",HDORSEY@UCI.EDU,IN4MATX,SR,GR,4,
402529234,"Moss, Wesley",WMOSS@UCI.EDU,IN4MATX,JR,GR,4,
403503081,"Doyle, Jarrod",JDOYLE@UCI.EDU,IN4MATX,SR,GR,4,
404476928,"Kelley, Aspen",AKELLEY@UCI.EDU,IN4MATX,SR,GR,4,
405450775,"Mcguire, Nehru",NMCGUIRE@UCI.EDU,IN4MATX,SR,GR,4,
406424622,"Mosley, May",MMOSLEY@UCI.EDU,IN4MATX,SR,GR,4,
407398469,"Valdez, Autumn",AVALDEZ@UCI.EDU,IN4MATX,SR,GR,4,
408372316,"Roach, Hilel",HROACH@UCI.EDU,IN4MATX,JR,GR,4,
409346163,"Anthony, Oscar",OANTHONY@UCI.EDU,IN4MATX,SR,GR,4,
410320010,"Roach, Demetria",DROACH@UCI.EDU,IN4MATX,SR,GR,4,
411293857,"Vazquez, Lillith",LVAZQUEZ@UCI.EDU,IN4MATX,JR,GR,4,
412267704,"Stuart, Ursa",USTUART@UCI.EDU,IN4MATX,SR,GR,4,
413241551,"Mack, Octavius",OMACK@UCI.EDU,IN4MATX,SR,GR,4,
414215398,"Fernandez, Kuame",KFERNANDEZ@UCI.EDU,IN4MATX,SR,GR,4,
415189245,"Alford, Nell",NALFORD@UCI.EDU,IN4MATX,SR,GR,4,
416163092,"Nielsen, Mari",MNIELSEN@UCI.EDU,IN4MATX,SR,GR,4,
417136939,"Brewer, Armando",ABREWER@UCI.EDU,IN4MATX,JR,GR,4,
418110786,"Rowe, Shelby",SROWE@UCI.EDU,IN4MATX,SR,GR,4,
419084633,"Dean, Sybill",SDEAN@UCI.EDU,IN4MATX,SR,GR,4,
420058480,"Jacobs, Xaviera",XJACOBS@UCI.EDU,IN4MATX,JR,GR,4,
