,,,UC Irvine Office of the Registrar,
,,,        WebRoster Demo Listing,
,,,,
       IMPORTANT!  It is your responsibility to ensure confidentiality,,,,
       of the student information below.  Further disclosure is,,,,
"       governed by Federal and State law and University policy, and",,,,
       is prohibited without written consent of the student(s).  For,,,,
"       questions, contact Mark Fonseca (949/824-9672,",,,,
       mark.fonseca@uci.edu) in the Office of the Registrar.,,,,
,,,,
"Demo Quarter, 2014",,,,
,,,,
PRESIDENTIAL MUSIC Course Code 99900,,,,
"Demo* 40D, Sec. A, 4-unit Lecture",,,,
"    Instructor: DE TOQUEVILLE, A.",,,,
"    Time, Place: TuTh 9:30-10:50, MM 316",,,,
    Enrollment: 19 students (none with a FERPA privacy block),,,,
,,,,
Student#,Name,Lvl,Opt,Email
297353758,"MURRAY, CAILIN",SR,GR,CMURRAY@UCI.EDU
298327605,"KIRK, CAMILLE",SR,P/N,CKIRK@UCI.EDU
299301452,"GAINES, CANDICE",SR,GR,CGAINES@UCI.EDU
300275299,"TYLER, BLAIR",SR,GR,BTYLER@UCI.EDU
301249146,"STUART, AMY",SR,GR,ASTUART@UCI.EDU
302222993,"ROBERSON, CAMILLA",SR,GR,CROBERSON@UCI.EDU
303196840,"JIMENEZ, CHARDE",SR,GR,CJIMENEZ@UCI.EDU
304170687,"COBB, JADA",SR,GR,JCOBB@UCI.EDU
305144534,"DUKE, DILLON",SR,P/N,DDUKE@UCI.EDU
306118381,"STEPHENS, URIAH",SR,GR,USTEPHENS@UCI.EDU
307092228,"MOONEY, CARA",SR,GR,CMOONEY@UCI.EDU
308066075,"WILKINS, KENNAN",SR,GR,KWILKINS@UCI.EDU
309039922,"ALBERT, ORLI",JR,GR,OALBERT@UCI.EDU
310013769,"LANCASTER, BRYNN",JR,GR,BLANCASTER@UCI.EDU
310987616,"SLATER, ARIANA",SR,GR,ASLATER@UCI.EDU
311961463,"ATKINSON, JELANI",SR,GR,JATKINSON@UCI.EDU
312935310,"WYATT, KEVIN",SR,P/N,KWYATT@UCI.EDU
313909157,"NUNEZ, LATIFAH",SR,GR,LNUNEZ@UCI.EDU
314883004,"HURLEY, GARY",SR,GR,GHURLEY@UCI.EDU
315856851,"MCCONNELL, QUINLAN",SR,P/N,QMCCONNELL@UCI.EDU
316830698,"NORRIS, DESIRAE",SR,GR,DNORRIS@UCI.EDU
317804545,"WILSON, GAY",SR,GR,GWILSON@UCI.EDU
318778392,"LOTT, CHASE",SR,GR,CLOTT@UCI.EDU
319752239,"TRAN, DALTON",SR,GR,DTRAN@UCI.EDU
320726086,"HERMAN, BO",SR,GR,BHERMAN@UCI.EDU
321699933,"GREER, REGINA",SR,GR,RGREER@UCI.EDU
322673780,"WAGNER, CLEMENTINE",SR,P/N,CWAGNER@UCI.EDU
323647627,"VALDEZ, NASH",SR,GR,NVALDEZ@UCI.EDU
324621474,"GLASS, IGNACIA",SR,GR,IGLASS@UCI.EDU
325595321,"GARZA, MORGAN",SR,GR,MGARZA@UCI.EDU
326569168,"CRAIG, CAROL",SR,GR,CCRAIG@UCI.EDU
327543015,"KOCH, VAUGHAN",JR,GR,VKOCH@UCI.EDU
328516862,"GATES, LYNN",JR,GR,LGATES@UCI.EDU
329490709,"RASMUSSEN, SUSAN",SR,GR,SRASMUSSEN@UCI.EDU
330464556,"CRAWFORD, HUNTER",SR,P/N,HCRAWFORD@UCI.EDU
331438403,"PHILLIPS, WALLACE",SR,GR,WPHILLIPS@UCI.EDU
332412250,"GLOVER, AUDRA",SR,GR,AGLOVER@UCI.EDU
333386097,"WILLIAM, JACK",SR,P/N,JWILLIAM@UCI.EDU
334359944,"ATKINSON, LANI",SR,GR,LATKINSON@UCI.EDU
335333791,"LYNCH, KARINA",SR,GR,KLYNCH@UCI.EDU
336307638,"SPENCER, JAKEEM",SR,GR,JSPENCER@UCI.EDU
337281485,"GRIFFITH, JOEL",SR,GR,JGRIFFITH@UCI.EDU
338255332,"BONNER, CONSTANCE",SR,GR,CBONNER@UCI.EDU
366496895,"CALDWELL, STONE",SR,P/N,SCALDWELL@UCI.EDU
367470742,"TILLMAN, ZEUS",SR,GR,ZTILLMAN@UCI.EDU
368444589,"MCINTOSH, RENEE",SR,GR,RMCINTOSH@UCI.EDU
380130753,"ESTRADA, KIERAN",JR,GR,KESTRADA@UCI.EDU
381104600,"PHELPS, ZOE",JR,GR,ZPHELPS@UCI.EDU
382078447,"MCCARTY, IGNATIUS",SR,GR,IMCCARTY@UCI.EDU
383052294,"CARR, BERT",SR,GR,BCARR@UCI.EDU
384026141,"LE, ROARY",SR,P/N,RLE@UCI.EDU
384999988,"MULLEN, AKEEM",SR,GR,AMULLEN@UCI.EDU
385973835,"BASS, JOSEPH",SR,GR,JBASS@UCI.EDU
386947682,"SUAREZ, FATIMA",SR,P/N,FSUAREZ@UCI.EDU
387921529,"WELCH, CLINTON",SR,GR,CWELCH@UCI.EDU
388895376,"MORSE, MARIAM",SR,GR,MMORSE@UCI.EDU
389869223,"RAY, KENNEDY",SR,GR,KRAY@UCI.EDU
390843070,"GILBERT, TREVOR",SR,GR,TGILBERT@UCI.EDU
391816917,"GLENN, ETHAN",SR,GR,EGLENN@UCI.EDU
392790764,"HUFF, FALLON",SR,GR,FHUFF@UCI.EDU
393764611,"BIRD, ZENIA",SR,P/N,ZBIRD@UCI.EDU
394738458,"LANDRY, MCKENZIE",SR,GR,MLANDRY@UCI.EDU
395712305,"DOMINGUEZ, KAREEM",SR,GR,KDOMINGUEZ@UCI.EDU
396686152,"GAMBLE, DENNIS",SR,GR,DGAMBLE@UCI.EDU
397659999,"SALAS, PRISCILLA",SR,GR,PSALAS@UCI.EDU
398633846,"SCHMIDT, LARISSA",JR,GR,LSCHMIDT@UCI.EDU
399607693,"FUENTES, EBONY",JR,GR,EFUENTES@UCI.EDU
400581540,"HART, KYLAN",SR,GR,KHART@UCI.EDU
401555387,"DORSEY, HAYFA",SR,P/N,HDORSEY@UCI.EDU
402529234,"MOSS, WESLEY",SR,GR,WMOSS@UCI.EDU
403503081,"DOYLE, JARROD",SR,GR,JDOYLE@UCI.EDU
404476928,"KELLEY, ASPEN",SR,P/N,AKELLEY@UCI.EDU
405450775,"MCGUIRE, NEHRU",SR,GR,NMCGUIRE@UCI.EDU
406424622,"MOSLEY, MAY",SR,GR,MMOSLEY@UCI.EDU
407398469,"VALDEZ, AUTUMN",SR,GR,AVALDEZ@UCI.EDU
408372316,"ROACH, HILEL",SR,GR,HROACH@UCI.EDU
409346163,"ANTHONY, OSCAR",SR,GR,OANTHONY@UCI.EDU
410320010,"ROACH, DEMETRIA",SR,GR,DROACH@UCI.EDU
411293857,"VAZQUEZ, LILLITH",SR,P/N,LVAZQUEZ@UCI.EDU
412267704,"STUART, URSA",SR,GR,USTUART@UCI.EDU
413241551,"MACK, OCTAVIUS",SR,GR,OMACK@UCI.EDU
414215398,"FERNANDEZ, KUAME",SR,GR,KFERNANDEZ@UCI.EDU
415189245,"ALFORD, NELL",SR,GR,NALFORD@UCI.EDU
416163092,"NIELSEN, MARI",SR,GR,MNIELSEN@UCI.EDU
417136939,"BREWER, ARMANDO",JR,GR,ABREWER@UCI.EDU
418110786,"ROWE, SHELBY",JR,GR,SROWE@UCI.EDU
419084633,"DEAN, SYBILL",SR,P/N,SDEAN@UCI.EDU
420058480,"JACOBS, XAVIERA",SR,GR,XJACOBS@UCI.EDU
