,UC Irvine Office of the Registrar,,,,,,
,WebRoster Listing,,,,,,
,,,,,,,
IMPORTANT! It is your responsibility to ensure confidentiality,,,,,,,
of the student information below. Further disclosure is,,,,,,,
"governed by Federal and State law and University policy, and",,,,,,,
is prohibited without written consent of the student(s). For,,,,,,,
"questions, contact Mark Fonseca (949/824-9672,",,,,,,,
mark.fonseca@uci.edu) in the Office of the Registrar.,,,,,,,
,,,,,,,
"Spring Quarter, 2014",,,,,,,
,,,,,,,
INTRO TO JAVA Course Code 36684,,,,,,,
"I&CS 32, Sec. A, Discussion 1",,,,,,,
"Instructor: KAY, D.",,,,,,,
"Time, Place: TuTh 11:00-12:20p, DBH 1500",,,,,,,
Enrollment: 65 students (none with a FERPA privacy block),,,,,,,
Authorization codes for student enrollment were generated:,,,,,,,
,https://www.reg.uci.edu/perl/AuthCodes.pl?term_code=201414&amp;course_code=37200,,,,,,
Roster also viewable this term by this UCI NetID: MSILBERM,,,,,,,
,,,,,,,
"Additional AccessUCI students: 1, viewable via EEE at",,,,,,,
,https://eee.uci.edu/toolbox/rosters/index.php?type=accessuci&quarter=S14&amp;ccode=37200,,,,,,
,,,,,,,
,,,,,,,
Student#,Name,Email,Major,Lvl,Opt,Unts,Notes
1234580,"GLENN, DEWALT",DEWALTG@UCI.EDU,IN4MATX,JR,GR,4,
1234581,"SHARLA, EDMISTON",EDMISTONS@UCI.EDU,IN4MATX,JR,GR,4,
1234582,"FELICIA, TORGERSEN",TORGERSENF@UCI.EDU,IN4MATX,SR,GR,4,
1234583,"HARVEY, MORITA",MORITAH@UCI.EDU,IN4MATX,SR,GR,4,
1234584,"CORINA, KOVAC",KOVACC@UCI.EDU,IN4MATX+BUS ADM,SR,GR,4,
1234585,"ERMELINDA, CANTRELLE",CANTRELLEE@UCI.EDU,IN4MATX,SR,GR,4,
1234586,"MAY, SYLVEST",SYLVESTM@UCI.EDU,IN4MATX,SR,GR,4,
1234587,"CELESTINA, HEINS",HEINSC@UCI.EDU,IN4MATX,JR,GR,4,
1234588,"MAJOR, KONECNY",KONECNYM@UCI.EDU,SW ENGR,SR,GR,4,
1234589,"MALLORY, LINDLEY",LINDLEYM@UCI.EDU,IN4MATX,SR,GR,4,
1234590,"YUETTE, MEYER",MEYERY@UCI.EDU,IN4MATX,SR,GR,4,
1234591,"SADE, BRUNDIGE",BRUNDIGES@UCI.EDU,IN4MATX,JR,GR,4,
1234592,"KEMBERLY, SHUE",SHUEK@UCI.EDU,IN4MATX,JR,GR,4,
1234593,"CAREY, COMFORT",COMFORTC@UCI.EDU,IN4MATX,SR,GR,4,
1234594,"REGENA, BOWSHER",BOWSHERR@UCI.EDU,IN4MATX,JR,GR,4,
1234595,"SAMUAL, OESTERLING",OESTERLINGS@UCI.EDU,IN4MATX,SR,GR,4,
1234596,"STAR, SELLARS",SELLARSS@UCI.EDU,IN4MATX,SR,GR,4,
1234597,"DORETTA, LOVERIDGE",LOVERIDGED@UCI.EDU,IN4MATX,SR,GR,4,
1234598,"NICKOLAS, ESPIRITU",ESPIRITUN@UCI.EDU,IN4MATX,JR,GR,4,
1234599,"HEIDY, LAMBRECHT",LAMBRECHTH@UCI.EDU,SW ENGR,SR,GR,4,
1234600,"STORMY, INOUE",INOUES@UCI.EDU,IN4MATX+PSY BEH,SR,GR,4,
1234601,"KIMBER, COCKRELL",COCKRELLK@UCI.EDU,IN4MATX,SR,GR,4,
1234602,"KARYN, JANTZEN",JANTZENK@UCI.EDU,IN4MATX,SR,GR,4,
1234603,"CHU, KOHUT",KOHUTC@UCI.EDU,SW ENGR+DRAMA,SR,GR,4,
1234604,"SHARI, TORRES",TORRESS@UCI.EDU,IN4MATX,JR,GR,4,
1234605,"DUANE, MANSEAU",MANSEAUD@UCI.EDU,SW ENGR,SR,GR,4,
1234606,"DELANA, CANAVAN",CANAVAND@UCI.EDU,IN4MATX,SR,GR,4,
1234607,"CHARLIE, FOARD",FOARDC@UCI.EDU,IN4MATX,JR,GR,4,
1234608,"JONI, KHALSA",KHALSAJ@UCI.EDU,SW ENGR,SR,GR,4,
1234609,"LEIA, CALKINS",CALKINSL@UCI.EDU,IN4MATX,SR,GR,4,
1234610,"DOMINQUE, YOUNGQUIST",YOUNGQUISTD@UCI.EDU,SW ENGR,SR,GR,4,
1234611,"DIRK, HAMMITT",HAMMITTD@UCI.EDU,IN4MATX,SR,GR,4,
1234612,"SONYA, BRACKENS",BRACKENSS@UCI.EDU,IN4MATX,SR,GR,4,
1234613,"KATHLINE, SINCLAIR",SINCLAIRK@UCI.EDU,IN4MATX,SR,GR,4,
1234614,"SABINA, BOTH",BOTHS@UCI.EDU,IN4MATX,SR,GR,4,
1234615,"LORRIANE, MOSQUERA",MOSQUERAL@UCI.EDU,SW ENGR,SR,GR,4,
1234616,"JAMAL, BRAUN",BRAUNJ@UCI.EDU,IN4MATX,SR,GR,4,
1234617,"PHYLIS, JESSE",JESSEP@UCI.EDU,IN4MATX,JR,GR,4,
1234618,"MARGET, DUREN",DURENM@UCI.EDU,IN4MATX,SR,GR,4,
1234619,"SATURNINA, GOLDSTEIN",GOLDSTEINS@UCI.EDU,IN4MATX,SR,GR,4,
1234620,"JOSELYN, BRISKI",BRISKIJ@UCI.EDU,BUSECON,SR,GR,4,
1234621,"DIEDRE, ORTEGON",ORTEGOND@UCI.EDU,CSE+SW ENGR,SR,GR,4,
1234622,"DAWNE, MCLENDON",MCLENDOND@UCI.EDU,IN4MATX,SR,GR,4,
1234623,"ALLEN, HOY",HOYA@UCI.EDU,IN4MATX,SR,GR,4,
1234624,"SIMA, HERRINGTON",HERRINGTONS@UCI.EDU,IN4MATX,JR,GR,4,
1234625,"NEVA, PULLINS",PULLINSN@UCI.EDU,IN4MATX,SR,GR,4,
1234626,"MARIAN, KOVAC",KOVACM@UCI.EDU,IN4MATX,SR,GR,4,
1234627,"MAGDALEN, BRASWELL",BRASWELLM@UCI.EDU,IN4MATX,SR,GR,4,
1234628,"MARIO, CALEY",CALEYM@UCI.EDU,IN4MATX,JR,GR,4,
1234629,"VALERIA, MELL",MELLV@UCI.EDU,IN4MATX,SR,GR,4,
1234630,"WALLY, MCCURDY",MCCURDYW@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"JACOB, WINES",WINESJ@UCI.EDU,IN4MATX,JR,GR,4,
1234631,"RYDER, CHRISTINA",RYDERC@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"MCNICOL, IAN",IMCNICOL@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"DHINGREJA, VINAYAK",VDHINGREJ@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"PETROV, DELIAN",PETROVD@UCI.EDU,IN4MATX,SR,GR,4,
1234631,"SILBERMAN, MICHAEL",MSILBERM@UCI.EDU,IN4MATX,SR,GR,4,
,,,,,,,
"Total: 65 students listed above for this course on Sunday, May 25, 2014.",,,,,,,
