Student#,Name,Email,Major,Lvl,Opt,Unts,Notes
1234567,"DILLON, ALTSCHULER",ALTSCHULERD@UCI.EDU,BIO SCI,SR,GR,4
1234568,"PEARLY, KAYS",KAYSP@UCI.EDU,SW ENGR+CMPTSCI,SR,GR,4
1234569,"VEDA, HYSMITH",HYSMITHV@UCI.EDU,IN4MATX,SR,GR,4
1234570,"FANNY, WILLITS",WILLITSF@UCI.EDU,SW ENGR,SR,GR,4
1234571,"WILBURN, KOEHL",KOEHLW@UCI.EDU,IN4MATX,SR,GR,4
1234572,"MYRL, SHERROW",SHERROWM@UCI.EDU,SW ENGR,SR,GR,4
1234573,"TASIA, MOFFATT",MOFFATTT@UCI.EDU,IN4MATX,JR,GR,4
1234574,"NORRIS, PALMER",PALMERN@UCI.EDU,IN4MATX,SR,GR,4
1234575,"VINITA, HERLIHY",HERLIHYV@UCI.EDU,IN4MATX,SR,GR,4
1234576,"JANYCE, SIPES",SIPESJ@UCI.EDU,IN4MATX,SR,GR,4
1234577,"STEFANY, HETZLER",HETZLERS@UCI.EDU,IN4MATX,SR,GR,4
1234578,"HALLIE, KEIL",KEILH@UCI.EDU,IN4MATX,SR,GR,4
1234579,"JOI, TREACY",TREACYJ@UCI.EDU,SW ENGR+CMPTSCI,SR,GR,4
1234580,"GLENN, DEWALT",DEWALTG@UCI.EDU,IN4MATX,JR,GR,4
1234581,"SHARLA, EDMISTON",EDMISTONS@UCI.EDU,IN4MATX,JR,GR,4
1234582,"FELICIA, TORGERSEN",TORGERSENF@UCI.EDU,IN4MATX,SR,GR,4
1234583,"HARVEY, MORITA",MORITAH@UCI.EDU,IN4MATX,SR,GR,4
1234584,"CORINA, KOVAC",KOVACC@UCI.EDU,IN4MATX+BUS ADM,SR,GR,4
1234585,"ERMELINDA, CANTRELLE",CANTRELLEE@UCI.EDU,IN4MATX,SR,GR,4
1234586,"MAY, SYLVEST",SYLVESTM@UCI.EDU,IN4MATX,SR,GR,4
1234587,"CELESTINA, HEINS",HEINSC@UCI.EDU,IN4MATX,JR,GR,4
1234588,"MAJOR, KONECNY",KONECNYM@UCI.EDU,SW ENGR,SR,GR,4
1234589,"MALLORY, LINDLEY",LINDLEYM@UCI.EDU,IN4MATX,SR,GR,4
1234590,"YUETTE, MEYER",MEYERY@UCI.EDU,IN4MATX,SR,GR,4
1234591,"SADE, BRUNDIGE",BRUNDIGES@UCI.EDU,IN4MATX,JR,GR,4
1234592,"KEMBERLY, SHUE",SHUEK@UCI.EDU,IN4MATX,JR,GR,4
1234593,"CAREY, COMFORT",COMFORTC@UCI.EDU,IN4MATX,SR,GR,4
1234594,"REGENA, BOWSHER",BOWSHERR@UCI.EDU,IN4MATX,JR,GR,4
1234595,"SAMUAL, OESTERLING",OESTERLINGS@UCI.EDU,IN4MATX,SR,GR,4
1234596,"STAR, SELLARS",SELLARSS@UCI.EDU,IN4MATX,SR,GR,4
1234597,"DORETTA, LOVERIDGE",LOVERIDGED@UCI.EDU,IN4MATX,SR,GR,4
1234598,"NICKOLAS, ESPIRITU",ESPIRITUN@UCI.EDU,IN4MATX,JR,GR,4
1234599,"HEIDY, LAMBRECHT",LAMBRECHTH@UCI.EDU,SW ENGR,SR,GR,4
1234600,"STORMY, INOUE",INOUES@UCI.EDU,IN4MATX+PSY BEH,SR,GR,4
1234601,"KIMBER, COCKRELL",COCKRELLK@UCI.EDU,IN4MATX,SR,GR,4
1234602,"KARYN, JANTZEN",JANTZENK@UCI.EDU,IN4MATX,SR,GR,4
1234603,"CHU, KOHUT",KOHUTC@UCI.EDU,SW ENGR+DRAMA,SR,GR,4
1234604,"SHARI, TORRES",TORRESS@UCI.EDU,IN4MATX,JR,GR,4
1234605,"DUANE, MANSEAU",MANSEAUD@UCI.EDU,SW ENGR,SR,GR,4
1234606,"DELANA, CANAVAN",CANAVAND@UCI.EDU,IN4MATX,SR,GR,4
1234607,"CHARLIE, FOARD",FOARDC@UCI.EDU,IN4MATX,JR,GR,4
1234608,"JONI, KHALSA",KHALSAJ@UCI.EDU,SW ENGR,SR,GR,4
1234609,"LEIA, CALKINS",CALKINSL@UCI.EDU,IN4MATX,SR,GR,4
1234610,"DOMINQUE, YOUNGQUIST",YOUNGQUISTD@UCI.EDU,SW ENGR,SR,GR,4
1234611,"DIRK, HAMMITT",HAMMITTD@UCI.EDU,IN4MATX,SR,GR,4
